interaction_id,user_id,product_id,action,timestamp,device,session_duration_sec
INT00084574,U04850,P029,view,2025-12-24 19:38:34.209340,Mobile,664.0
INT00011820,U02684,P032,click,2025-10-20 05:57:00.209340,Desktop,421.0
INT00054831,U02524,P075,view,2025-11-27 23:26:43.209340,Mobile,1483.0
INT00015440,U03788,,view,2025-10-23 11:57:58.209340,Desktop,1379.0
INT00097468,U02047,P060,click,2026-01-05 10:50:30.209340,Tablet,42.0
INT00044236,U00523,P070,view,2025-11-18 12:52:43.209340,Tablet,
INT00015132,U03779,P031,view,2025-10-23 06:17:59.209340,Desktop,1306.0
INT00049857,U00437,P085,view,2025-11-23 12:24:59.209340,Desktop,558.0
INT00061975,U02800,P007,view,2025-12-04 12:40:04.209340,Tablet,930.0
INT00096105,U00910,P055,add_to_cart,2026-01-04 04:30:29.209340,Desktop,914.0
INT00020944,U00486,P038,view,2025-10-28 12:17:19.209340,Mobile,665.0
INT00025326,U04635,P041,view,2025-11-01 11:42:09.209340,Desktop,1527.0
INT00053841,U00258,P051,,2025-11-27 02:37:07.209340,Tablet,557.0
INT00029358,U04007,P047,view,2025-11-05 02:58:37.209340,Mobile,1023.0
INT00001091,U04364,P038,view,2025-10-10 15:08:05.209340,Desktop,780.0
INT00059581,U04274,P065,add_to_cart,2025-12-02 09:12:56.209340,Mobile,1139.0
INT00056885,U02143,P037,view,2025-11-29 21:53:48.209340,Tablet,
INT00015572,U03042,P044,add_to_cart,2025-10-23 14:58:52.209340,Mobile,259.0
INT00056343,U02932,P089,add_to_cart,2025-11-29 09:31:34.209340,Mobile,1583.0
INT00087012,U01395,,view,2025-12-26 23:31:29.209340,Desktop,804.0
INT00046633,U02428,P035,view,2025-11-20 15:44:17.209340,Mobile,511.0
INT00045072,U00974,P050,view,2025-11-19 06:55:11.209340,Tablet,487.0
INT00026661,U00125,P018,add_to_cart,2025-11-02 17:40:22.209340,Mobile,1721.0
INT00008588,U01971,P020,click,2025-10-17 09:14:54.209340,Desktop,146.0
INT00065132,U00021,P047,view,2025-12-07 08:56:30.209340,Tablet,1505.0
INT00065507,U02128,P085,click,2025-12-07 16:29:05.209340,Mobile,354.0
INT00011525,U04841,P059,view,2025-10-19 23:54:18.209340,Desktop,1622.0
INT00098318,U01869,P080,click,2026-01-06 04:42:43.209340,Tablet,540.0
INT00005854,U04539,P081,click,2025-10-14 21:47:31.209340,Mobile,1403.0
INT00076451,U03926,P074,click,2025-12-17 12:36:13.209340,Tablet,113.0
INT00055937,U00389,P080,view,2025-11-29 00:20:36.209340,Tablet,1291.0
INT00046424,U04451,P006,click,2025-11-20 11:21:36.209340,Tablet,10.0
INT00075097,U03191,P059,view,2025-12-16 06:06:22.209340,Desktop,1285.0
INT00020158,U03623,P030,view,2025-10-27 19:22:59.209340,Tablet,60.0
INT00070764,U00028,P027,click,2025-12-12 11:19:07.209340,Mobile,1661.0
INT00029497,U00259,P064,view,2025-11-05 06:08:26.209340,Tablet,138.0
INT00052264,U00130,P048,click,2025-11-25 17:11:58.209340,Mobile,1077.0
INT00049276,U00317,P022,purchase,2025-11-22 23:51:17.209340,Tablet,1026.0
INT00040960,U04562,P071,Invalid_Data,2025-11-15 16:07:37.209340,Mobile,1680.0
INT00075021,U01068,P097,click,2025-12-16 04:29:06.209340,Tablet,1205.0
INT00023470,U03686,P001,purchase,2025-10-30 19:23:28.209340,Desktop,82.0
INT00026856,U02175,P039,click,2025-11-02 21:37:57.209340,Mobile,573.0
INT00033998,U00967,P030,view,2025-11-09 08:28:51.209340,Mobile,1374.0
INT00037626,U01718,P096,view,2025-11-12 14:31:25.209340,Desktop,220.0
INT00030902,U04969,P057,click,2025-11-06 12:43:17.209340,Mobile,512.0
INT00047260,U01848,P060,click,2025-11-21 04:36:11.209340,Mobile,246.0
INT00057552,U04519,P037,view,2025-11-30 12:53:52.209340,Tablet,1513.0
INT00045223,,P069,click,2025-11-19 10:02:15.209340,Tablet,283.0
INT00016503,U02941,P092,click,,Mobile,1152.0
INT00007326,U03739,P017,click,2025-10-16 05:43:28.209340,Tablet,1672.0
INT00014900,U02170,P035,view,2025-10-23 01:12:27.209340,Desktop,864.0
INT00043699,U02643,P062,view,2025-11-18 01:15:19.209340,Mobile,1800.0
INT00036871,U03593,P051,view,2025-11-11 22:11:08.209340,Desktop,1089.0
INT00058283,U03943,P058,,2025-12-01 04:36:03.209340,Mobile,185.0
INT00099880,U03443,P008,view,2026-01-07 13:59:50.209340,Desktop,1275.0
INT00035041,U01359,P013,purchase,2025-11-10 06:54:04.209340,Mobile,1545.0
INT00006527,U00744,P093,,2025-10-15 12:43:45.209340,Desktop,1763.0
INT00002029,U00922,P067,view,2025-10-11 11:14:19.209340,Mobile,999.0
INT00034534,U03032,P073,add_to_cart,2025-11-09 19:54:47.209340,Desktop,422.0
INT00044034,U03722,P085,view,2025-11-18 07:55:07.209340,Desktop,683.0
INT00015571,U04722,P061,,2025-10-23 14:58:34.209340,Tablet,1564.0
INT00006062,U02995,P082,add_to_cart,2025-10-15 02:13:09.209340,Mobile,946.0
INT00037527,U00155,P071,view,2025-11-12 12:14:05.209340,Tablet,157.0
INT00038214,U03795,P022,view,2025-11-13 04:03:13.209340,Tablet,
INT00002579,U03693,P069,view,2025-10-11 23:00:00.209340,Mobile,920.0
INT00036991,U04410,P084,view,2025-11-12 00:42:21.209340,Desktop,454.0
INT00086381,U03310,P071,view,2025-12-26 10:26:17.209340,Desktop,1671.0
INT00089045,U03446,P066,view,2025-12-28 19:47:59.209340,Tablet,365.0
INT00037421,U00098,,view,2025-11-12 10:07:45.209340,Tablet,554.0
INT00085536,U04192,P072,click,2025-12-25 16:16:52.209340,Desktop,646.0
INT00077268,U02586,,view,2025-12-18 06:46:13.209340,Desktop,1058.0
INT00076288,U04159,P098,view,2025-12-17 08:50:36.209340,Tablet,1006.0
INT00025756,U01247,P081,click,2025-11-01 21:49:36.209340,Mobile,724.0
INT00008991,U04827,P092,view,2025-10-17 17:57:31.209340,Tablet,208.0
INT00066237,U00045,P090,view,2025-12-08 09:01:31.209340,Tablet,1677.0
INT00056556,U03686,P093,click,2025-11-29 14:24:13.209340,Mobile,1520.0
INT00095327,U03608,P024,view,2026-01-03 12:21:09.209340,,1755.0
INT00060897,U00302,P068,click,2025-12-03 14:28:58.209340,Mobile,881.0
INT00096061,U00136,P042,view,2026-01-04 03:29:27.209340,Mobile,1531.0
INT00025174,U01981,P033,view,2025-11-01 08:05:48.209340,Desktop,1058.0
INT00089010,U01647,P092,view,2025-12-28 18:56:54.209340,Tablet,1729.0
INT00006843,U02011,P044,view,2025-10-15 19:48:19.209340,Tablet,1197.0
INT00098738,U02958,P024,click,2026-01-06 14:09:16.209340,Tablet,1416.0
INT00030554,U03172,P098,click,2025-11-06 04:41:38.209340,Desktop,626.0
INT00016446,,P038,view,2025-10-24 10:43:42.209340,Tablet,653.0
INT00016367,U03070,P075,view,2025-10-24 08:54:55.209340,Desktop,1667.0
INT00082820,U03888,P042,Invalid_Data,2025-12-23 05:13:03.209340,Desktop,1305.0
INT00088920,U00112,P046,click,2025-12-28 17:03:51.209340,Mobile,335.0
INT00075102,U01453,P019,view,2025-12-16 06:09:01.209340,Tablet,1591.0
INT00059329,U02804,P016,view,2025-12-02 04:02:39.209340,Mobile,970.0
INT00044577,U00819,P056,view,2025-11-18 20:25:30.209340,Mobile,61.0
INT00074720,U01509,P042,add_to_cart,2025-12-15 22:51:30.209340,Tablet,915.0
INT00077955,U03579,P042,view,2025-12-18 21:45:41.209340,Desktop,
INT00047523,U01095,P030,add_to_cart,2025-11-21 10:24:36.209340,Desktop,1543.0
INT00012717,U04321,P054,view,2025-10-21 01:24:07.209340,Desktop,1780.0
INT00093065,U00087,P060,click,2026-01-01 10:48:21.209340,Desktop,195.0
INT00095867,U02411,P094,view,2026-01-03 23:31:15.209340,Mobile,1569.0
INT00036075,U04962,P092,view,2025-11-11 04:51:16.209340,Desktop,258.0
INT00097629,U01671,P023,view,2026-01-05 14:40:37.209340,Mobile,8.0
,U02951,P068,view,2025-12-30 23:15:02.209340,Mobile,1420.0
INT00010012,U02112,P096,view,2025-10-18 16:15:37.209340,Desktop,382.0
INT00084668,U03356,P006,click,2025-12-24 21:55:04.209340,Desktop,377.0
INT00016207,U04576,P065,,2025-10-24 05:07:59.209340,Desktop,1289.0
INT00060001,U00231,P061,view,2025-12-02 18:57:29.209340,Desktop,1560.0
INT00070401,U03605,P047,view,,Desktop,234.0
,U00703,P055,click,2025-12-22 07:50:52.209340,Desktop,191.0
INT00027614,U03767,P017,view,2025-11-03 14:27:09.209340,Tablet,103.0
INT00053414,U04214,,add_to_cart,2025-11-26 17:46:27.209340,Desktop,1196.0
INT00002741,U03137,P065,click,2025-10-12 02:23:23.209340,Mobile,1444.0
INT00016240,U04039,P056,view,2025-10-24 05:53:53.209340,Tablet,1282.0
INT00084663,U03802,P015,click,2025-12-24 21:49:51.209340,Desktop,467.0
INT00076770,U00571,P065,click,2025-12-17 19:25:52.209340,Tablet,635.0
INT00070943,U02900,P094,click,2025-12-12 15:01:32.209340,Tablet,1273.0
INT00064585,U02441,P025,view,2025-12-06 21:13:44.209340,Mobile,1627.0
INT00025264,U01431,P090,click,2025-11-01 10:24:14.209340,Tablet,420.0
INT00077297,U00831,P023,click,2025-12-18 07:18:16.209340,Desktop,1758.0
INT00071563,U04004,P087,view,2025-12-13 03:52:18.209340,Tablet,19.0
INT00009408,U03608,P076,view,2025-10-18 02:48:03.209340,Tablet,
INT00027825,U02907,P003,click,2025-11-03 18:44:36.209340,Tablet,1129.0
INT00014882,U04021,P096,view,2025-10-23 00:54:59.209340,Desktop,1468.0
INT00070161,U03092,P009,view,2025-12-11 21:00:40.209340,Mobile,876.0
INT00081428,U02307,P005,click,2025-12-22 00:21:19.209340,Mobile,1445.0
INT00016602,U00581,P067,view,2025-10-24 14:17:13.209340,Tablet,126.0
INT00018545,U03052,P024,click,2025-10-26 08:41:12.209340,Tablet,1304.0
INT00004568,U04082,P002,add_to_cart,2025-10-13 18:21:46.209340,Tablet,971.0
INT00039178,U00560,P023,view,2025-11-14 01:10:25.209340,Mobile,1784.0
INT00001137,U04924,P042,,2025-10-10 16:07:03.209340,Tablet,1134.0
INT00096763,U01958,P081,view,2026-01-04 19:02:11.209340,Mobile,1256.0
INT00004621,U00921,P004,click,2025-10-13 19:35:39.209340,Tablet,1443.0
INT00028168,U01617,P089,click,2025-11-04 02:02:16.209340,Tablet,537.0
INT00018596,,P005,purchase,2025-10-26 09:57:05.209340,Desktop,1671.0
INT00053701,U00273,P020,click,2025-11-26 23:32:53.209340,Mobile,381.0
INT00068329,U01190,P019,click,2025-12-10 06:48:58.209340,Mobile,147.0
INT00090445,U02115,P042,click,2025-12-30 02:28:33.209340,Mobile,570.0
INT00055658,U04726,P064,add_to_cart,2025-11-28 17:52:34.209340,Desktop,1284.0
INT00006071,U03498,P017,view,2025-10-15 02:18:56.209340,Tablet,737.0
INT00036465,U04145,P019,view,2025-11-11 12:58:34.209340,Mobile,589.0
INT00068789,U03764,P086,view,2025-12-10 16:31:40.209340,Mobile,117.0
INT00014902,U03536,P058,click,2025-10-23 01:17:34.209340,Mobile,1277.0
INT00030313,U03686,P083,view,2025-11-05 23:43:43.209340,Tablet,729.0
INT00088149,U04003,P089,view,2025-12-27 23:25:46.209340,Tablet,1745.0
INT00074664,U01779,P078,view,2025-12-15 21:39:02.209340,Tablet,1132.0
INT00058443,U01135,P073,view,2025-12-01 07:43:13.209340,Desktop,1712.0
INT00054938,U01612,,view,2025-11-28 01:59:59.209340,Desktop,676.0
INT00090137,,P041,view,2025-12-29 19:27:30.209340,Mobile,540.0
INT00053052,U00304,P001,click,2025-11-26 09:59:17.209340,Tablet,203.0
INT00075601,U03745,P004,view,2025-12-16 16:29:50.209340,,432.0
INT00084877,U01893,P034,view,2025-12-25 02:37:01.209340,Tablet,1236.0
INT00088153,,P088,click,2025-12-27 23:28:31.209340,Mobile,1487.0
INT00000264,U01077,P080,view,2025-10-09 22:00:25.209340,Desktop,711.0
INT00086727,U00802,P024,click,2025-12-26 17:46:47.209340,Tablet,730.0
INT00049381,U03024,P049,view,2025-11-23 02:29:37.209340,Desktop,526.0
INT00031059,U04472,P066,add_to_cart,2025-11-06 16:22:21.209340,Desktop,1285.0
INT00095092,U04325,P080,view,2026-01-03 07:06:27.209340,Desktop,396.0
INT00091811,U02150,P035,click,2025-12-31 07:13:02.209340,Tablet,1352.0
INT00036874,U03841,P019,click,2025-11-11 22:12:31.209340,Tablet,1648.0
INT00081303,U00878,P021,add_to_cart,2025-12-21 21:38:17.209340,Tablet,416.0
INT00092810,U01227,P077,view,2026-01-01 04:43:26.209340,Desktop,30.0
INT00063801,U00993,P100,view,2025-12-06 04:00:13.209340,Desktop,372.0
INT00034023,U00715,P088,purchase,2025-11-09 09:01:42.209340,Tablet,92.0
INT00069520,U03157,P018,view,2025-12-11 07:29:38.209340,Tablet,1774.0
INT00022194,U00262,,add_to_cart,2025-10-29 16:18:57.209340,Mobile,1549.0
INT00080945,U00408,P083,view,2025-12-21 14:06:07.209340,Mobile,767.0
INT00091044,U01612,P012,view,2025-12-30 14:48:20.209340,Desktop,213.0
INT00067379,U00104,P069,view,2025-12-09 10:35:21.209340,Mobile,1736.0
INT00082044,U03642,P020,click,2025-12-22 13:02:21.209340,Desktop,382.0
INT00021138,U03578,P078,click,2025-10-28 16:33:21.209340,Mobile,644.0
INT00081217,U04153,P032,view,2025-12-21 19:43:25.209340,Desktop,1051.0
INT00009502,U04446,P017,view,,Tablet,1486.0
INT00010214,U02943,P068,click,2025-10-18 20:27:35.209340,Desktop,1358.0
INT00008535,U01987,P062,click,2025-10-17 08:18:51.209340,Desktop,676.0
INT00096836,U02760,P082,view,2026-01-04 20:12:23.209340,Desktop,1532.0
INT00071110,U02502,P025,click,2025-12-12 17:56:59.209340,Desktop,563.0
INT00049095,U03105,P011,view,2025-11-22 19:43:55.209340,Mobile,786.0
INT00029609,U01813,P097,view,2025-11-05 08:22:35.209340,Desktop,31.0
INT00090477,U03902,P010,view,2025-12-30 03:14:24.209340,Mobile,545.0
INT00060226,U00903,P049,click,2025-12-03 00:06:42.209340,Desktop,1729.0
INT00074050,U02034,P052,view,2025-12-15 09:12:00.209340,Mobile,345.0
INT00078257,U03466,P078,add_to_cart,2025-12-19 04:09:35.209340,,265.0
INT00066966,U02494,P008,add_to_cart,2025-12-09 00:59:04.209340,Mobile,545.0
INT00088885,U01202,P031,view,,Mobile,885.0
INT00053367,U01030,P051,view,2025-11-26 16:51:25.209340,Desktop,
INT00029506,U03114,P035,view,2025-11-05 06:16:54.209340,Tablet,1681.0
INT00058197,U01895,P077,view,2025-12-01 02:54:15.209340,Mobile,1772.0
INT00032513,U01690,P095,view,,Mobile,1683.0
INT00036263,U02852,P085,view,2025-11-11 09:00:13.209340,Mobile,1396.0
INT00089932,U01374,P037,click,2025-12-29 15:00:36.209340,Desktop,1350.0
INT00017269,U04988,P018,click,2025-10-25 04:17:25.209340,Desktop,637.0
INT00085325,U02789,P087,purchase,2025-12-25 11:46:15.209340,Tablet,1655.0
INT00077931,U03868,P017,purchase,2025-12-18 21:14:34.209340,Mobile,219.0
INT00021456,U03148,P085,view,2025-10-28 23:13:56.209340,Mobile,715.0
INT00087814,U02301,P060,purchase,2025-12-27 16:01:48.209340,Desktop,
INT00035429,U03981,P047,view,2025-11-10 15:22:03.209340,Desktop,1732.0
INT00064072,U04068,P036,view,2025-12-06 09:41:43.209340,Tablet,1235.0
INT00031011,U02589,P015,view,2025-11-06 15:11:20.209340,Tablet,1273.0
INT00022004,U04266,P042,view,2025-10-29 12:19:43.209340,Mobile,1740.0
INT00071816,U03491,P039,click,2025-12-13 09:03:47.209340,Invalid_Data,425.0
INT00096454,U04127,P061,view,2026-01-04 12:05:55.209340,Tablet,1553.0
INT00040195,U04078,P065,view,2025-11-14 23:26:47.209340,Tablet,970.0
INT00077979,U00715,P092,view,2025-12-18 22:18:34.209340,Tablet,757.0
INT00058291,U00388,P016,view,2025-12-01 04:40:32.209340,Mobile,724.0
INT00072274,U04505,P070,view,2025-12-13 19:12:32.209340,Mobile,663.0
INT00041412,U01213,P026,add_to_cart,,Desktop,1345.0
INT00059585,U00852,P044,view,2025-12-02 09:23:37.209340,Tablet,199.0
INT00054788,U03296,P031,view,2025-11-27 22:46:00.209340,Mobile,854.0
INT00092268,U00305,P080,click,2025-12-31 17:47:36.209340,Mobile,1414.0
INT00028496,U03370,P098,view,2025-11-04 08:32:06.209340,Mobile,786.0
INT00036386,U00780,P094,purchase,2025-11-11 11:17:54.209340,Tablet,1099.0
INT00043421,U02693,P076,view,2025-11-17 19:10:18.209340,Desktop,1177.0
INT00043046,U03367,P095,view,2025-11-17 11:34:35.209340,Tablet,1461.0
INT00076841,U04771,P058,view,2025-12-17 20:58:53.209340,Mobile,808.0
INT00015114,U00703,P045,click,2025-10-23 06:03:46.209340,Tablet,1281.0
INT00085719,U00043,P065,view,2025-12-25 19:58:31.209340,Desktop,1196.0
INT00085806,U00501,P005,purchase,2025-12-25 21:53:28.209340,Desktop,447.0
INT00089872,U00168,P007,view,2025-12-29 13:50:53.209340,Tablet,706.0
INT00059528,U00373,P089,click,2025-12-02 07:59:44.209340,Tablet,1087.0
,U03060,P011,purchase,2025-11-20 22:12:41.209340,Tablet,380.0
INT00042708,U03144,P033,click,2025-11-17 04:25:40.209340,Desktop,771.0
INT00009555,U02259,P050,view,2025-10-18 05:56:58.209340,Mobile,1778.0
INT00027877,U00278,P040,purchase,2025-11-03 20:03:52.209340,Tablet,281.0
INT00034138,U02285,P026,view,2025-11-09 11:49:58.209340,Tablet,1725.0
INT00025455,U02974,P072,view,2025-11-01 14:16:40.209340,Mobile,657.0
INT00026062,U02492,P074,click,2025-11-02 04:36:03.209340,Tablet,890.0
INT00002040,U02868,P039,add_to_cart,2025-10-11 11:24:40.209340,,1634.0
INT00001315,U03137,P027,view,2025-10-10 20:04:11.209340,Mobile,1416.0
INT00067591,U01689,P055,view,2025-12-09 15:03:32.209340,Mobile,566.0
INT00022728,U04900,P037,add_to_cart,2025-10-30 03:26:03.209340,Desktop,725.0
INT00035955,U04944,P004,click,2025-11-11 02:28:30.209340,Mobile,56.0
INT00092959,U04619,P008,view,2026-01-01 08:25:14.209340,Mobile,1400.0
INT00002173,U04792,P026,add_to_cart,2025-10-11 14:36:16.209340,Tablet,1318.0
INT00073593,U04876,P021,add_to_cart,2025-12-15 00:12:49.209340,Mobile,422.0
INT00032236,U03196,P050,click,2025-11-07 17:45:21.209340,Mobile,
INT00073038,U01646,P072,click,2025-12-14 12:30:00.209340,Desktop,371.0
INT00065033,U02572,P022,view,2025-12-07 06:50:17.209340,Mobile,544.0
,U02851,P096,view,2025-11-11 10:08:28.209340,Desktop,278.0
INT00014320,U03619,P035,add_to_cart,2025-10-22 12:41:36.209340,Desktop,224.0
INT00078677,U04510,P054,add_to_cart,2025-12-19 12:57:39.209340,Tablet,98.0
INT00028103,U00354,P095,click,2025-11-04 00:35:57.209340,Tablet,164.0
INT00050576,U01455,P005,Invalid_Data,2025-11-24 04:33:10.209340,Mobile,1537.0
INT00060767,U02444,P006,click,2025-12-03 11:34:20.209340,Tablet,1449.0
INT00023837,U03248,P027,view,2025-10-31 03:06:45.209340,Tablet,1511.0
INT00057830,U02868,P045,click,2025-11-30 19:03:42.209340,Desktop,948.0
INT00006135,U03470,P058,view,2025-10-15 03:49:49.209340,Desktop,647.0
INT00009845,U01106,P091,view,2025-10-18 12:25:09.209340,Desktop,557.0
INT00021454,U01115,P082,view,2025-10-28 23:11:38.209340,Tablet,652.0
INT00016400,U00874,P043,view,2025-10-24 09:32:42.209340,Mobile,1112.0
INT00063510,U00449,P080,view,2025-12-05 21:51:45.209340,Mobile,929.0
INT00007884,U04489,P015,click,2025-10-16 18:28:50.209340,Mobile,724.0
INT00054329,U00958,P052,view,2025-11-27 12:50:06.209340,Desktop,647.0
INT00093095,U02509,P100,view,2026-01-01 11:35:57.209340,Tablet,1199.0
INT00059685,U04845,P006,add_to_cart,2025-12-02 11:31:47.209340,Tablet,69.0
INT00049196,U02361,P034,click,2025-11-22 22:20:09.209340,Tablet,1328.0
INT00087209,U03281,P076,view,2025-12-27 03:41:14.209340,Desktop,1509.0
INT00099550,U02641,P009,view,2026-01-07 07:05:29.209340,Desktop,1719.0
INT00061229,U03065,P089,view,2025-12-03 21:36:21.209340,Desktop,788.0
INT00001599,U01264,P069,view,2025-10-11 02:02:15.209340,Desktop,282.0
INT00005415,U04147,P073,view,2025-10-14 12:33:42.209340,Desktop,
INT00036747,U00738,P012,view,2025-11-11 19:12:00.209340,Desktop,978.0
INT00098953,U03394,P038,view,2026-01-06 18:16:27.209340,Tablet,1234.0
INT00039302,U00184,P096,click,2025-11-14 03:47:52.209340,Mobile,665.0
INT00071568,U04733,P079,,2025-12-13 04:01:01.209340,Desktop,
INT00074106,U00973,P067,view,2025-12-15 10:20:53.209340,Desktop,1774.0
INT00013928,U03387,P090,view,2025-10-22 04:07:10.209340,Desktop,1397.0
INT00049317,U02247,P093,purchase,2025-11-23 00:43:03.209340,Tablet,1605.0
INT00034270,U02767,P094,view,,Desktop,1468.0
INT00047799,U01619,P055,click,2025-11-21 16:17:45.209340,Mobile,
INT00088011,U01829,P011,view,2025-12-27 20:13:58.209340,Mobile,1127.0
INT00045271,U04161,P033,view,2025-11-19 11:00:53.209340,Desktop,817.0
INT00092131,U01128,,view,2025-12-31 14:29:12.209340,Mobile,310.0
INT00065890,U04242,P051,view,2025-12-08 00:37:55.209340,Tablet,1506.0
INT00043000,U03265,P091,click,2025-11-17 10:27:12.209340,Desktop,1771.0
INT00098108,U03709,P042,view,2026-01-06 00:48:46.209340,Tablet,642.0
INT00023843,U00270,P057,view,2025-10-31 03:16:27.209340,Mobile,
INT00000502,U02170,P017,click,2025-10-10 02:29:07.209340,Tablet,166.0
INT00017327,U00125,P034,click,2025-10-25 05:22:54.209340,Mobile,1492.0
INT00037300,U01550,P059,view,2025-11-12 07:26:56.209340,Desktop,1127.0
INT00067134,U02690,P012,view,2025-12-09 04:58:43.209340,Desktop,1264.0
,U00342,P020,view,2025-11-02 02:49:22.209340,Tablet,1089.0
INT00019053,U04595,P024,click,2025-10-26 20:04:58.209340,Tablet,1691.0
INT00096376,U03129,P066,view,2026-01-04 10:32:05.209340,Desktop,1569.0
INT00058055,U00837,P054,view,2025-11-30 23:47:52.209340,Tablet,1313.0
INT00062218,U02875,P038,click,2025-12-04 17:29:11.209340,Tablet,721.0
INT00008719,U02636,P038,click,2025-10-17 11:58:49.209340,Desktop,7.0
INT00046437,U01851,P038,view,2025-11-20 11:44:02.209340,Tablet,1267.0
INT00033970,U00774,P001,view,2025-11-09 07:37:17.209340,Tablet,1149.0
INT00039966,U04259,P091,view,2025-11-14 18:46:27.209340,Tablet,1643.0
INT00069596,U03055,P083,view,2025-12-11 08:55:56.209340,Mobile,1482.0
INT00098521,U03211,P057,view,2026-01-06 09:27:37.209340,Desktop,1365.0
INT00000505,U02088,P056,view,2025-10-10 02:33:41.209340,Mobile,750.0
INT00037724,U01469,P086,view,2025-11-12 16:39:57.209340,,1186.0
INT00063684,U01010,P001,click,2025-12-06 01:18:52.209340,Tablet,309.0
INT00066150,U04977,P069,view,2025-12-08 07:11:41.209340,Mobile,
INT00077171,U04010,P002,view,2025-12-18 04:52:56.209340,Mobile,787.0
INT00077846,U03208,P034,click,2025-12-18 19:32:14.209340,Tablet,1008.0
INT00090372,U03051,,click,2025-12-30 00:43:58.209340,Tablet,198.0
INT00003422,U02953,P092,view,2025-10-12 16:34:25.209340,Tablet,339.0
INT00033522,U04963,P075,view,2025-11-08 22:03:52.209340,Tablet,1621.0
INT00053161,U04613,P002,view,2025-11-26 12:24:28.209340,Tablet,1011.0
INT00029354,U04003,P065,purchase,2025-11-05 02:52:24.209340,Tablet,1055.0
INT00037505,U02719,P042,click,2025-11-12 11:46:33.209340,Tablet,1141.0
INT00022192,U01232,P046,click,2025-10-29 16:18:15.209340,Tablet,1333.0
INT00069242,U04584,P073,view,2025-12-11 01:28:42.209340,Tablet,677.0
INT00053059,U03467,P065,view,2025-11-26 10:10:52.209340,Tablet,152.0
INT00095557,U02974,P057,click,2026-01-03 17:09:46.209340,Desktop,773.0
INT00058426,U04791,P029,view,2025-12-01 07:16:45.209340,Desktop,1634.0
INT00021731,U04097,P076,view,2025-10-29 06:13:43.209340,Tablet,1375.0
INT00037286,U01972,P093,click,2025-11-12 07:15:27.209340,Desktop,
INT00056555,U04605,P025,add_to_cart,2025-11-29 14:23:58.209340,Tablet,1376.0
INT00044879,U00744,P010,click,2025-11-19 02:33:49.209340,Tablet,563.0
INT00036605,U00766,P078,view,2025-11-11 16:17:41.209340,Desktop,898.0
,U00980,P021,click,2025-11-24 16:28:24.209340,Tablet,1012.0
INT00087883,,P013,add_to_cart,2025-12-27 17:32:02.209340,Desktop,45.0
INT00099452,U02710,P076,view,,Desktop,350.0
INT00054787,U01263,P032,view,2025-11-27 22:45:37.209340,Tablet,1120.0
INT00082224,U04144,P036,click,2025-12-22 17:01:36.209340,Mobile,980.0
INT00038675,U04589,P045,click,2025-11-13 14:55:36.209340,Tablet,1354.0
INT00030462,U00572,P058,view,2025-11-06 02:37:02.209340,Mobile,1699.0
