product_id,product_name,category,brand,price,rating,stock_level
P017,Wish Push Lite,Sports,"Hawkins, Cohen and Cameron",326.81,3.0,452.0
P092,Glass Wrong Max,Home,Wilson LLC,650.53,3.3,335.0
P035,Food Education Pro,Fashion,Allen PLC,513.75,3.4,117.0
P008,Source Great v2,Electronics,Davis Inc,127.41,2.2,321.0
P044,My Economy Max,Beauty,Caldwell-Lewis,425.03,2.0,472.0
P073,Series Gun Lite,Electronics,Watts LLC,323.01,2.0,52.0
P028,Rest Value Pro,Sports,"Potter, Mack and Peterson",902.43,3.0,57.0
P020,Under Serious Lite,Beauty,Lewis-Porter,336.79,5.0,260.0
P084,Upon Itself v2,Electronics,White LLC,525.07,4.1,223.0
P026,Pick Attack Max,Home,James-Ferrell,766.45,1.4,320.0
P078,Act Brother Pro,Beauty,Landry Ltd,1289.3,1.9,418.0
P050,List Challenge v2,Sports,White-Ford,240.65,2.2,495.0
P014,Fall Long Lite,Beauty,"Flowers, Martin and Kelly",1484.39,3.6,285.0
P025,Claim Product Max,Beauty,Conner Group,686.05,4.8,448.0
P004,Early Mouth v2,Sports,"Johnson, Gonzalez and Santos",338.46,3.4,414.0
P018,Stand Arrive Max,Beauty,Underwood LLC,404.67,2.0,
P039,Land Development v2,Fashion,"Campos, Vaughn and Marquez",372.07,2.9,208.0
P009,Her Throw Lite,Sports,Munoz-Roman,870.25,3.8,23.0
P081,Way Help Lite,Electronics,Fleming Ltd,533.21,3.0,347.0
P007,Save Knowledge Lite,Home,Ramirez-Lewis,,3.9,274.0
P067,Black Back Lite,Beauty,,1358.95,4.4,47.0
P037,Soon No Pro,Fashion,Anderson Group,1359.08,4.4,36.0
P090,Inside Get Max,Home,Lin-Rasmussen,295.84,3.7,194.0
P057,Serious Message Max,Home,Lee and Sons,405.77,1.5,330.0
P096,Nature Wish Max,Home,"Mcdaniel, Bentley and Mclaughlin",1211.78,1.6,23.0
P055,Able In Pro,Sports,House-Glover,932.88,2.7,
P051,Two Wind Pro,Electronics,Ramos PLC,1124.48,1.2,299.0
P070,Ready Newspaper Pro,Sports,Contreras PLC,176.69,4.8,353.0
P047,Health Land Max,Fashion,Owens-Daniel,615.56,2.9,442.0
P071,Firm Work Pro,Fashion,,1253.55,3.3,75.0
P062,Employee Particular Lite,Sports,"Williams, Miller and Sandoval",921.4,4.9,334.0
P100,Find Once v2,Electronics,Lee Ltd,336.07,4.2,356.0
P082,Board Health Lite,Sports,Invalid_Data,1409.46,1.5,496.0
P042,Once Drug Pro,Electronics,"Robinson, Jones and Welch",609.91,2.4,441.0
P059,Pattern Me v2,Electronics,"Calhoun, Schmidt and Brown",935.53,3.3,51.0
P049,Training Boy v2,Home,Lee PLC,435.02,3.8,374.0
P089,Try Drive Lite,Home,Johnson and Sons,1003.67,2.3,356.0
P058,Article Particularly v2,Home,"Daniels, Adkins and Brown",481.1,4.0,37.0
P076,Goal Spend Pro,Beauty,Walsh LLC,277.25,4.7,400.0
P033,Notice Start Max,Fashion,"Sellers, George and Burns",1072.29,2.6,343.0
P097,Debate Himself v2,Fashion,,920.8,4.1,233.0
P060,Movie Be Max,Electronics,Jones Inc,763.77,,178.0
P064,Sense Former Max,Electronics,Baker and Sons,404.05,4.6,380.0
P095,Business Image Lite,Sports,"Lee, Williams and Graham",149.15,4.8,120.0
P038,Your Often Max,Sports,Baker PLC,424.93,2.9,276.0
P030,Type Serve Pro,Electronics,Stanton-Gill,1100.54,4.3,500.0
P002,Dog Chair Pro,Electronics,"Garcia, Yang and Gardner",889.83,1.1,47.0
P053,With Some Pro,Fashion,Martin Group,896.6,3.7,120.0
P022,Option Nothing v2,Fashion,Burgess-Patterson,898.65,2.5,305.0
P003,Performance Knowledge Max,Fashion,Johnson and Sons,762.98,1.1,101.0
P024,Mr Minute Lite,Electronics,Campos Inc,1155.21,2.4,150.0
P088,Decision Technology Lite,Home,Bailey-Hoover,998.45,1.5,460.0
P094,Hair Shoulder Max,Beauty,Graham-Joyce,991.69,2.1,339.0
P075,Best Protect Max,Fashion,Calderon-Williams,1464.55,4.2,451.0
P087,Idea Turn Lite,Fashion,Garrison and Sons,652.63,4.8,471.0
P083,Clear Wish Max,Home,Hancock and Sons,875.08,4.9,19.0
P021,Usually Who Pro,Beauty,"Ellis, Baker and Wright",1136.12,,78.0
P061,Republican Training Max,Electronics,,560.6,1.6,426.0
P072,Voice Both Max,Beauty,"Tran, Nelson and Jacobs",72.32,2.5,477.0
P015,Religious Example Lite,Fashion,"Zuniga, Wong and Lynch",1265.85,4.1,117.0
P093,Could Partner v2,Home,Johnson-Carlson,,3.7,261.0
